,,,,,,
Kinetix 5100 Fault Codes,,,,,,
,,,,,,
For more information see:,,,,,,
"Kinetix 5100 Servo Drive User Manual, publication 2198-UM004",,,,,,
,,,,,,
"Fault Type
","Fault Code
",Display Text,Fault,Corrective Action,Servo ON,Servo OFF
Major Recoverable Fault,E 001,Over current,"Over current 
Current is 1.5 times more than the drive's rated peak current output.
Causes:
1. The drive output is short-circuited.
2. Motor wiring error.
3. IGBT error.
4. Control parameter setting error.
5. Unreasonable command issued.","1a. Check the wiring connection between the drive and motor. 
1b. Check that the wires are not short-circuited.
1c. Correct the wiring and avoid exposing any conductors. 
2a. Check that the wiring steps are all correct when connecting the motor to the drive.
2b. Follow the wiring instructions in the user manual. 
3a. The temperature of heat sink is abnormal. 
3b. If the issue persists, contact your distributor or Rockwell Automation representative. 
4a. Check whether the setting value is greater than the default value.
4b. Reset to the default settings and then gradually adjust the value.
5a. Check that the command is within a reasonable acceleration time.
5b. Increase the acceleration time. 
5c. Apply a filter for a smooth command.",,○
Major Recoverable Fault,E 002,Over voltage,"Over voltage
The main circuit voltage is higher than the rated voltage.
Causes:
1. The input voltage of main circuit is higher than the rated allowable voltage.
2. The drive may be damaged.","1a. Check the main input voltage.
1b. Apply the correct voltage.
2.  If the issue persists, contact your distributor or Rockwell Automation representative.
",,○
Major Recoverable Fault,E 003,Under voltage,"Under voltage
Voltage of the main circuit is lower than the rated voltage. 
Causes:
1. The input voltage of main circuit is lower than the allowable voltage.
2. No voltage is supplied to the power circuit.","1a. Check the main input voltage.
1b. Check the input voltage wiring.
2a. Check the main input voltage.
2b. Check the input voltage wiring.",,○
Major Unrecoverable Fault,E 004,Motor combination error,"Motor Combination Error
Drive and motor combination error.
Causes:
1. The wrong motor is connected to the servo drive.",1. Connect to the right motor.,,○
Major Recoverable Fault,E 005,Regeneration error,"Regeneration error
Causes:
1. The shunt resistor is not connected or its value is too low.
2. ID158 (P1.053) ShuntResistorPower is not set to zero when the shunt resistor is not connected. The regenerative switch transistor may be short-circuited.
3. Wrong parameter setting. ","1a. Check the connection of the shunt resistor.
1b. Connect the shunt resistor or recalculate the value of the shunt resistor.
2a. Check if the regenerative switch transistor is short-circuited. 
2b. Set parameterID158 (P1.053) ShuntResistorPower to zero when the shunt resistor is not in use.
3a. Check the settings of parameters ID157 (P1.052) ShuntResistorValue and ID158 (P1.053) ShuntResistorPower.
3b. Set the correct value.",,○
Major Recoverable Fault,E 006,Motor overload,"Motor overload

Causes:
1. Motor ratings have been exceeded.
2. Control parameters are inappropriate.
3. Wiring between the motor and encoder is incorrect.
4. The motor encoder is malfunctioning.","1a. Set parameter ID102 (P0 - 002) LEDMonitorSelection to 12 and check if the average torque % is over 100% all of the time. 
1b. Change the motor or reduce the load.
2a. Check for mechanical vibration.
2b. Adjust the tuning parameters.
2c. Check the acceleration or deceleration settings.
2d. Reduce the acceleration or deceleration settings.
3a. Check the wiring between the motor and the encoder.
3b. Correct the wiring.
4. If the motor encoder is malfunctioning, contact your distributor or Rockwell Automation representative.",,○
Major Recoverable Fault,E 007,Excessive deviation of speed command,"Excessive deviation of speed command
The speed of the motor exceeds the maximum set speed. 
Causes: 
1. Abnormal analog command.
2. Inappropriate parameter setting.
3. Excessive command.","1a. Use the scope to check the analog voltage signal. 
1b. Use the analog filter to smooth the command speed.
2a. Check whether the setting of ID218 (P2.034) VelocityErrorTolerance is too small (the over-speed warning condition).
2b. Set ID218 (P2.034) VelocityErrorTolerance (the overspeed warning condition) correctly.
3a. Check the command speed.
3b. Command speed too aggressive.",,○
Major Recoverable Fault,E 008,Abnormal pulse command,"Abnormal pulse command
Causes: 
1. The pulse command frequency is higher than the rated input frequency.","1a. Use the scope to check if the input frequency is higher than the rated input frequency.
1b. Correct the input pulse frequency setting.",,○
Major Recoverable Fault,E 009,Excessive deviation of position command,"Excessive deviation of position command
The deviation of the posistion command exceeds the allowable setting value.
Causes:
1. Parameter ID219 (P2.035) PositionErrorTolerance is set too small.
2. The tuning parameters are set inappropriately. 
3. The torque limit is too low.
4. Excessive external load.","
1a. Check the setting value of ID219 (P2.035) PositionErrorTolerance (the warning condition of excessive position deviation).
1b. Increase the setting value of ID219 (P2.035) PositionErrorTolerance.
2a. Check the value of the tuning parameters.
2b. Correct the value of the tuning parameters.
3a. Check the torque limit value.
3b. Correctly adjust the torque limit value.
4a. Check the external load.
4b. Reduce the external load or re-evaluate the motor capacity. ",,○
Major Unrecoverable Fault,E 011,Encoder error,"Encoder error
The encoder has an abnormal pulse.
Causes:
1. The encoder is wired incorrectly.
2. The encoder connector is loose.
3. The encoder is damaged.","1a. Check the wiring to the encoder by following the instructions in the user manual.
1b. Correct the wiring.
2a. Check the drive connector and the motor encoder connectors.
2b. Correct the connectors.
3a. Check the motor and encoder for damage. 
3b. Replace the motor.",,○
Major Recoverable Fault,E 012,Analog input calibration error,"Analog input calibration error
The calibration value exceeds the allowable value during electronic calibration.
Causes:
1. The analog input port is incorrectly set to zero.
2. The measurement device is damaged. ","1a. Check grounding signals. 
1b. Correctly connect the analog input port to ground.
2a. Reset the power supply.
2b. Contact your distributor or Rockwell Automation representative.",,○
Major Recoverable Fault,E 013,Emergency stop,"Emergency stop
The emergency stop button is activated.","1a. Check if the emergency stop button is activated. 
1b. Deactivate the emergency stop by using the DI.EMGS signal. ",,○
Minor Recoverable Fault (Warning),A 014,Reverse limit warning,"Reverse limit warning
Causes:
1. The reverse limit switch is activated.
2. The servo system is unstable.","1a. Check if the limit switch is activated.
1b. Move the axis away from the reverse limit switch.
2a. Check the control parameter and inertia ratio.
2b. Re-adjust the parameter or re-evaluate the motor capacity.",○,
Minor Recoverable Fault (Warning),A 015,Forward limit warning,"Forward limit warning
Causes:
1. The forward limit switch is activated.
2. The servo system is unstable.","1a. Check if the limit switch is activated.
1b. Move the axis away from the forward limit switch.
2a. Check the control parameter and inertia ratio.
2b. Re-adjust the parameter or re-evaluate the motor capacity.",○,
Major Recoverable Fault,E 016,IGBT overheat,"IGBT overheat
The temperature of the IGBT is too high.
Causes:
1. The load is greater than the drive rating and excessive use.
2. The drive output is short-circuited.","1a. Check for overloading or if the motor current is too high.
1b. Change the motor or reduce loading.
2a. Check the drive output wiring.
2b. Correct the wiring.",,○
Major Recoverable Fault,E 017,Abnormal EEPROM,"Abnormal EEPROM
An EEPROM error has occurred.",1. Contact your distributor or Rockwell Automation representative.,,○
Major Recoverable Fault,E 018,Abnormal pulse output,"Abnormal pulse output
Causes:
1. An error in the encoder.
2. The output pulse exceeds the allowable hardware range.
3. Interference or cable damage.","1a. Check if E 011, E 024, E025, or E 026 are present in the fault history. See ID274 (P4.000) …ID 278 (P4.005) FaultRecordNx.
1b. If a fault exists, correct the fault.
2. Check that the value of ID175 (P1.076) MaxEncoderOutputSpeed is less than the motor speed or that 
(Motor Speed/60)x(MaxEncoderOutputSpeed x4) > (19.8 x 106).
3a. Set ID102 (P0.002) LEDMonitorSelection to 112. If interference is present, the value increments.
3b. Check that the motor is properly grounded.
3c. Check whether the encoder cable is separated from the power supply or the high-current circuit.
3d. Check whether shielded cables are used.
",,○
Major Recoverable Fault,E 022,Input voltage phase loss,"Input voltage phase loss
Causes:
1. The input voltage is abnormal.
","1a. Check RST wiring.
1b. If the issue persists, contact your distributor or Rockwell Automation representative.",,○
Major Unrecoverable Fault,E 024,Encoder Hall sensor effect error,"Encoder Hall sensor effect error
Error in the U, V, W magnetic field of the encoder signal.
Causes: 
1. The motor is not properly grounded.
2. Interference or cable damage.
3. The Hall sensor is not wired.","1. Check that the motor is properly grounded.
2a. Check that feedback cable is separated from  the power supply or the high-current cables.
2b. Check whether shielded cables were used.
2c. Use shielding mesh.
3. Verify that the Hall sensor is wired.
4. Contact your distributor or Rockwell Automation representative.",,○
Major Unrecoverable Fault,E 025,Internal encoder error,"Internal encoder error
Causes: 
1. The motor is not properly grounded.
2. Interference or cable damage.","1a. Check that the motor is properly grounded.
1b. Wire the motor grounding cable.
2a. Check that feedback cable is separated from  the power supply or the high-current cables.
2b. Check whether shielded cables were used.
2c. Use shielding mesh.
3. If the issue persists, contact your distributor or Rockwell Automation representative.",,○
Major Unrecoverable Fault,E 027,Encoder reset error,"Encoder reset error
An internal encoder error has occurred.
Causes: 
1. The motor is not properly grounded.
2. Interference or cable damage.","
1a. Check that the motor is properly grounded.
1b. Wire the motor grounding cable.
2a. Check that feedback cable is separated from  the power supply or the high-current cables.
2b. Check whether shielded cables were used.
3. If the issue persists, contact your distributor or Rockwell Automation representative.",,○
Major Unrecoverable Fault,E 028,Encoder overvoltage error,"Encoder overvoltage error
Causes:
1. Battery is over voltage.","1a. Check whether the voltage of the installed battery is greater than 3.8 V.
1b. Replace the battery.",,○
Major Unrecoverable Fault,E 029,Gray Code error,"Gray Code error
Encoder error occurred.
Causes:
1. An absolute position error occurred.","1a. Cycle power and check if the fault re-occurs.
1b. If the issue persists, contact your distributor or Rockwell Automation representative.",,○
Major Recoverable Fault,E 02C,Drive overload,"Drive overload
Causes:
1. The drive rating has been exceeded.
2. The control parameters are set inappropriately.
3. The accel/decel settings are inappropriate.
4. Wiring between the motor and encoder is incorrect.
5. The motor controller is malfunctioning. ","1a. Set parameter ID102 (P0 - 002) LEDMonitorSelection to 113 and check if the average torque is over 100% all of the time.  When the monitored value is higher than 100%, then fault E02C occurs.
1b. Change the drive or the motor or reduce the load.
2a. Check for mechanical vibration.
2b. Adjust the tuning parameters.
2c. Check the acceleration or deceleration settings.
2d. Reduce the acceleration or deceleration settings.
3a. Check the wiring between the motor and the encoder.
3b. Correct the wiring.
4. If the motor encoder is malfunctioning, contact your distributor or Rockwell Automation representative.",,○
Major Recoverable Fault,E 030,Exceed torque limit,"Exceed torque limit
Torque limit or time setting exceeded.
Causes:
1. Parameter ID162 (P1.057) CrashProtectionTorqueThreshold is not set correctly.
2. Parameter ID162 (P1.057) CrashProtectionTorqueThreshold and ID163 (P1.058) CrashProtectionFilterTime are not set correctly. ","1a. Check whether ID162 (P1.057) CrashProtectionTorqueThreshold is not set to 0.
1b. Set ID162 (P1.057) to 0 if it is not in use.
2a. Check the values of  ID162 (P1.057) and ID163 (P1.058).
2b. Set ID162 (P1.057) and ID (P1.058) to a higher value.",,○
Major Unrecoverable Fault,E 031,Incorrect or disconnected motor power cable wiring,"Incorrect or disconnected motor power cable wiring
Causes:
1. Incorrect or disconnected motor power cable wiring. ","1a. Check motor power cable wiring.
1b. Correct the motor power cable wiring.",,○
Major Unrecoverable Fault,E 034,Encoder communication error,"Encoder communication error
Causes:
1. Internal communication error of the encoder (absolute or other encoder).","
1. Change the motor. 
",,○
Major Unrecoverable Fault,E 035,Encoder over temperature,"Encoder over temperature
Causes:
1. Encoder temperature exceeded the maximum of 100°C (212°F).
","1a. Set ID102 (P0.002) LEDMonitorSelection to 114 to read the temperature and check if it is below 100°C (212°F). 
1b. If the encoder temperature is higher than 100°C (212°F),  improve the heat dissipation to lower the temperature. 
1c. If the temperature difference between the motor and the
displayed temperature value is over 30˚C (86 °F) , contact your distributor or Rockwell Automation representative.
1d. Restart the system when the TLP motor temperature is below 100°C (212°F).",,○
Major Recoverable Fault,E 040,Excessive deviation of full closed-loop position control,"Excessive deviation of full closed-loop position control
Causes:
1. ID172 (P1.073) MotorAndAuxFeedbackErrorLimit is set too small. 
2. Connection problem.
","1a. Check if the value of ID172 (P1.073) is too small. 
1b. Increase the value of ID172 (P1.073).
2a. Check whether the connector is loose or there is any mechanism connection problem.
2b. Fix the connection.",,○
Major Recoverable Fault,E 041,Auxiliary feedback error,"Auxiliary feedback error
Causes:
1. Wiring issue with auxiliary feedback. ","1a. Check the wiring for the auxiliary feedback.
1b. Correct the wiring, if necessary. ",,○
Major Recoverable Fault,E 042,Analog input voltage error,"Analog input voltage error
Causes:
1. The analog input voltage is higher than the value of ID176 (P1.083) AbnormalAnalogInputVoltageLevel over 50ms.","1a. Check if analog input voltage is higher than the value of ID176 (P1.083) AbnormalAnalogInputVoltageLevel.
1b. Correct the analog input source or the value of ID176 (P1.083) AbnormalAnalogInputVoltageLevel setting.",,○
Major Unrecoverable Fault,E 045,E-Gear ratio setting error,"E-Gear ratio setting error
Causes: 
1. E-Gear ratio exceeds the allowable range (0.25…262144)","1a. Check that the E-gear ratio parameter is within the allowable range.
1b. Adjust the parameter value to within the allowable range. 
1c. Cycle power to the drive.",,○
Major Unrecoverable Fault,E 050,Auto detection of motor parameters is complete,"Auto detection of motor parameters is complete
Causes:
1. When executing motor analyzer or test commutation, this fault occurs when the auto detection is complete.",1. Cycle power or reset the drive.,,○
Major Recoverable Fault,E 052,Initial magnetic field detection error,"Initial magnetic field detection error
The drive could not detect a magnetic field when using self sense.
Causes:
1. The motor move distance is too large during the magnetic field detection.  
2. The motor brake is not released or motor is not rotating smoothly, or the motion platform cannot work because the set screw has not been pulled out.","1a. Check that the motor parameter ID599 (PM.003) EncoderType is set  correctly.
1b. Check whether the feedback signal is abnormal.
1c. Check whether the moving distance is too large during the initial magnetic field detection when the motor is powered on.
1d. Check for interference and verify that shielded cable is used for the feedback signal.
2a. Make sure that the motor and mechanism can operate properly. 
2b. Check whether the friction between the motor and mechanism is too large.",,○
Major Unrecoverable Fault,E 055,Motor magnetic field error,"Motor magnetic field error
Causes:
1. The drive detects the motor’s current magnetic field position and compares it with that of the Hall sensor. When the deviation between the two is too big, this alarm occurs.
","1a. Check if noise is interfering with the encoder feedback,  causing pulse loss. 
1b. Assuming that the feedback type of the encoder is a square wave digital signal, check if the motor speed is too fast and exceeds the hardware limit of 20 MHz (the limit of quadruple frequency). 
1c. Check if the Hall sensor is malfunctioning.",,○
Major Recoverable Fault,E 058,Excessive deviation of initial magnetic pole position detection when power on,"Excessive deviation of initial magnetic pole position detection when power on
The controller issued commands during initial magnetic field detection.
Causes:
1. After the initial magnetic field detection is complete, the servo system then attempts, but fails to reduce the existing position error.
2. If the controller issues commands when the servo system is not fully settled, the position error might therefore be greater and cannot be reduced.","1a. Check if the controller has issued the command immediately when it is powered on. Use the software scope and select 'Command position' to monitor whether there is a command issued. If so, increase the delay time for the controller to issue the command after it is powered on.
2a.  If the controller time sequence cannot be modified due to surge interference or other factors when powered on, set ID682 (P2.088) [bit4] to 1 to prohibit the servo from receiving controller commands during the initial magnetic field detection.",,○
