"Kinetix 5100 Servo Drive Parameters 
For more information see:",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
"Kinetix 5100 Servo Drive User Manual, 
publication 2198-UM004",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,Name,Control Mode,Min.,Max.,Default Value,Precision,Units,Data Type,Comments,Groups,Read-only,Set When Servo Off,Valid After Power Cycle,Volatile Parameter,Parameter Number
1,MotorType,All,0,3,0,,,USINT,"Motor Type

0 = Rotary Permanent Magnet
1 = Reserved
2 = Linear Motor.
3 = Induction Machine","1-Motor
11-System",,x,x,,PM.000
2,MotorCatalogNumber,All,,,,,,SHORT_STRING,Motor Catalog Number [0]-[15],"1-Motor
11-System",,x,,,PN.010
3,MotorManufacturer,All,,,,,,SHORT_STRING,Motor Manufacturer's Name [0]-[31],1-Motor,x,,,,
4,MotorRatedContinuousCurrent,All,0,65535,260,0.01,Amps (RMS),UINT,"Motor Rated Continuous Current
The Min value must not be less than DriveRatedContinuousCurrent/8. e.g. The Rated Continuous Current of 2198-E1004-ERS is 2.60 A, so the min value is 33 (0.325 A).","1-Motor
11-System",,x,x,,PM.029
5,MotorRatedVoltage,All,0,65535,220,,Volts (RMS),UINT,Motor Rated Base Voltage,1-Motor,,x,,,PM.065
6,MotorRatedOutputPower,All,0,655350,40,0.01,kW,UDINT,Motor Rated Output Power at Rated Frequency,1-Motor,,,,,PM.067
7,MotorRatedWindingTemperature,All,0,100,80,,oC,UINT,Motor Rated Winding Temperature,1-Motor,x,,,,
8,MotorMaxSpeed,All,0,28500,8000,,RPM,UINT,Maximum allowed motor speed,1-Motor,,x,x,,PM.032
9,RotaryMotorPoles,All,0,500,10,,pole,UINT,Number of poles in the motor,"1-Motor
11-System",,x,x,,PM.028
10,PMMotorTorqueConstant,All,0,65535,0,0.001,N-m/Amps (RMS),DINT,Permanent Magnet Motor Torque Constant,1-Motor,,x,,,PM.033
11,RotaryMotorInertia,All,0,2147483647,0,0.001,10^-4kg-m^2,DINT,Rotary Motor Inertia,1-Motor,,x,,,PM.034
12,MotorRatedSpeed,All,0,28500,8000,,RPM,INT,Motor Rated Speed at Rated Frequency,1-Motor,,x,x,,PM.031
13,MotorSerialNumber,All,,,,,,SHORT_STRING,Motor Serial Number from nameplate [0]-[9],1-Motor,x,,,x,PN.040
599,EncoderType,All,0x0000,0x0010,0x0010,,,UINT,"Encoder Type

Y: Hall element setting
0 = Digital AqB without UVW
1 = Digital AqB with UVW","1-Motor
11-System",,x,x,,PM.003
600,EncoderResolution,All,128,268435456,16777216,,Counts/Rev,DINT,Encoder Resolution,"1-Motor
11-System",,x,x,,PM.004
