"Kinetix 5100 Servo Drive Parameters 
For more information see:",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
"Kinetix 5100 Servo Drive User Manual, 
publication 2198-UM004",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,Name,Control Mode,Min.,Max.,Default Value,Precision,Units,Data Type,Comments,Groups,Read-only,Set When Servo Off,Valid After Power Cycle,Volatile Parameter,Parameter Number
122,VelocityCmdLowPassFilterTime,S/Sz/IO,0,1000,0,,ms,INT,r,"5-Control
15-Filter",,,,,P1.006
123,TorqueCmdLowPassFilterTime,T/Tz/IO,0,1000,0,,ms,INT,"Torque Command Low Pass Filter Time Constant
Setting this parameter to 0 disables this function.","5-Control
15-Filter",,,,,P1.007
124,PositionCmdLowPassFilterTime,PT/PR/IO,0,1000,0,,10ms,INT,"Position Command Low Pass Filter Time Constant
Setting this parameter to 0 disables this function.","5-Control
15-Filter
20-Tuning",,,,,P1.008
135,LowFreqVibrationSuppression1Frequency,PT/PR/IO,10,1000,1000,0.1,Hz,INT,"Low-frequency Vibration Suppression 1 Frequency
Sets the value of the first low-frequency vibration suppression frequency. When ID136 (P1.026) is set to 0, this function is disabled. ",5-Control,,,,,P1.025
136,LowFreqVibrationSuppression1Gain,PT/PR/IO,0,9,0,,,INT,"Low-frequency Vibration Suppression 1 Gain
Setting this parameter to 0 disables the first low-frequency vibration suppression filter. 
When setting the gain of the first low-frequency vibration suppression, increasing the setting value can improve the position response,
but if the value is set too high, the motor may not operate smoothly. The recommended value is 1.",5-Control,,,,,P1.026
137,LowFreqVibrationSuppression2Frequency,PT/PR/IO,10,1000,1000,0.1,Hz,INT,"Low-frequency Vibration Suppression 2 Frequency
Sets the value of the second low-frequency vibration suppression frequency. When ID138 (P1.028) is set to 0, this function is disabled. ",5-Control,,,,,P1.027
138,LowFreqVibrationSuppression2Gain,PT/PR/IO,0,9,0,,,INT,"Low-frequency Vibration Suppression 2 Gain
Setting this parameter to 0 disables the second low-frequency vibration suppression filter. 
When setting the gain of the second low-frequency vibration suppression, increasing the setting value can improve the position response, but if the value is set too high, the motor may not operate smoothly. The recommended value is 1.",5-Control,,,,,P1.028
141,SCurveAccelTime,S/Sz/IO,1,65500,200,,ms,UINT,"Acceleration Time Constant of S-Curve Velocity Profile
See S-curve Filter (Speed Mode) in the user manual.","5-Control
15-Filter
20-Tuning",,,,,P1.034
142,SCurveDecelTime,S/Sz/IO,1,65500,200,,ms,UINT,"Deceleration Time Constant of S-curve Velocity Profile
See S-curve Filter (Speed Mode) in the user manual.","5-Control
15-Filter
20-Tuning",,,,,P1.035
