"Kinetix 5100 Servo Drive Parameters 
For more information see:",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
"Kinetix 5100 Servo Drive User Manual, 
publication 2198-UM004",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,Name,Control Mode,Min.,Max.,Default Value,Precision,Units,Data Type,Comments,Groups,Read-only,Set When Servo Off,Valid After Power Cycle,Volatile Parameter,Parameter Number
194,DIDebounceTime,All,0,20,2,,ms,INT,"Digital Input Debouncing Time
When the environmental interference is big, increasing the setting value can enhance the control stability. However, if the value is set too high, it will impact the response time.",6-IO,,,,,P2.009
195,DI1Configuration,All,0x0000,0x014F,0x0100,,,UINT,"Digital Input 1 Configuration
Selects the DI function (YX) and function of the NO or NC contact (Z). When parameters are modified, re-start the servo drive so that it can function normally.  You can configure ID268 (P3.006) to change the source for the digital signal, either through an external terminal block or communication parameter ID281 (P4.007).
See Description of Digital Input Functions in the user manual.

YX: Input function
See Description of Digital Input Functions in the user manual.
Z: Input contact NO or NC
0=normally closed (NC contact)
1=normally open (NO contact)
U: reserved",6-IO,,,,,P2.010
196,DI2Configuration,All,0x0000,0x014F,0x0100,,,UINT,"Digital Input 2 Configuration
Selects the DI function (YX) and function of the NO or NC contact (Z). When parameters are modified, re-start the servo drive so that it can function normally. You can configure ID268 (P3.006) to change the source for the digital signal, either through an external terminal block or communication parameter ID281 (P4.007).
See Description of Digital Input Functions in the user manual.

YX: Input function
See Description of Digital Input Functions in the user manual.
Z: Input contact NO or NC
0=normally closed (NC contact)
1=normally open (NO contact)
U: reserved",6-IO,,,,,P2.011
197,DI3Configuration,All,0x0000,0x014F,0x0100,,,UINT,"Digital Input 3 Configuration
Selects the DI function (YX) and function of the NO or NC contact (Z). When parameters are modified, re-start the servo drive so that it can function normally. User can configure P3.006 to change the source for the digital signal, either through an external terminal block or communication parameter P4.007.
See Description of Digital Input Functions in the user manual.

YX: Input function
See Description of Digital Input Functions in the user manual.
Z: Input contact NO or NC
0=normally closed (NC contact)
1=normally open (NO contact)
U: reserved",6-IO,,,,,P2.012
198,DI4Configuration,All,0x0000,0x014F,0x0100,,,UINT,"Digital Input 4 Configuration
Selects the DI function (YX) and function of the NO or NC contact (Z). When parameters are modified, re-start the servo drive so that it can function normally. You can configure ID268 (P3.006) to change the source for the digital signal, either through an external terminal block or communication parameter ID281 (P4.007).
See Description of Digital Input Functions in the user manual.

YX: Input function
See Description of Digital Input Functions in the user manual.
Z: Input contact NO or NC
0=normally closed (NC contact)
1=normally open (NO contact)
U: reserved",6-IO,,,,,P2.013
199,DI5Configuration,All,0x0000,0x014F,0x0100,,,UINT,"Digital Input 5 Configuration
Selects the DI function (YX) and function of the NO or NC contact (Z). When parameters are modified, re-start the servo drive so that it can function normally. You can configure ID268 (P3.006) to change the source for the digital signal, either through an external terminal block or communication parameter ID281 (P4.007).
See Description of Digital Input Functions in the user manual.

YX: Input function
See Description of Digital Input Functions in the user manual.
Z: Input contact NO or NC
0=normally closed (NC contact)
1=normally open (NO contact)
U: reserved",6-IO,,,,,P2.014
200,DI6Configuration,All,0x0000,0x014F,0x0100,,,UINT,"Digital Input 6 Configuration
Selects the DI function (YX) and function of the NO or NC contact (Z). When parameters are modified, re-start the servo drive so that it can function normally. You can configure ID268 (P3.006) to change the source for the digital signal, either through an external terminal block or communication parameter ID281 (P4.007).
See Description of Digital Input Functions in the user manual.

YX: Input function
See Description of Digital Input Functions in the user manual.
Z: Input contact NO or NC
0=normally closed (NC contact)
1=normally open (NO contact)
U: reserved",6-IO,,,,,P2.015
