"Kinetix 5100 Servo Drive Parameters 
For more information see:",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
"Kinetix 5100 Servo Drive User Manual, 
publication 2198-UM004",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ID,Name,Control Mode,Min.,Max.,Default Value,Precision,Units,Data Type,Comments,Groups,Read-only,Set When Servo Off,Valid After Power Cycle,Volatile Parameter,Parameter Number
131,DI9CaptureAndCompareConfiguration,All,0x00000000,0x6F000101,0x2D000000,,,UDINT,"DI9 Capture and Compare Configuration

X: Additional function of Capture
- Bit 0: ID330 (P5.038) will reset to the configured value when the DI9CaptureRemainedCount decreases to 0 in cycle mode.
-- 0=Disable cycle mode
-- 1=Enable cycle mode
- Bits 1…3: Reserved
Y:Reserved
Z: Additional function of Compare
- Bit 0:
-- 0=ID134 (P1 .024) takes effect always.
-- 1=ID134 (P1 .024 only takes effect once, than reset to 0 automatically
- Bits 1…3: Reserved
U:Reserved","9-Motion_1
25-Capture",,,,,P1.019
132,DI9CaptureMaskRange,All,0,100000000,0,,,DINT,"DI9 Capture Masking Range
When Capture function is enabled and set to capture multiple points [ID330 (P5.038) > 1], it will stop receiving the DI captured signal within this range once the data is captured. The DI captured signal received within this range will not be recognized. This function can be used to avoid noise being regarded as effective signals within the non-capture range. Masking range is defined as follows:  [CAP_DATA- ID132 (P1 .020), CAP_DATA+ID132 (P1.020)].","9-Motion_1
25-Capture",,,,,P1.020
133,NonVolatileCompareDataOffset,All,-10000000,10000000,0,,,DINT,"Non-Volatile Compare Data Offset
When using the Compare function, you can add the offset value to the data array value for comparison to the actual comparison data. 
See High Speed Compare Function (CMP) in the user manual.",9-Motion_1,,,,,P1.023
134,VolatileCompareDataOffset,All,-32768,32767,0,,,INT,"Volatile Compare Data Offset
When using the Compare function, you can add the offset value to the data array value for comparison to the actual comparison data. 
See High Speed Compare Function (CMP) in the user manual.",9-Motion_1,,,,x,P1.024
177,HomingCollisionTorqueLimit,PR/IO,1,300,1,,%,INT,"Homing Collision Torque Limit
This torque limit setting is only for torque limit homing mode ID297 (P5.004.X=9 or 10). When the homing command is triggered, the motor runs in one direction until it reaches the collision protector. After reaching the collision protector, the servo drive outputs a larger motor current/torque to counter the external force from the collision protector. The servo drive uses the motor current/torque and the Torque limit time to determine homing.
See Referencing the Torque Limit in the user manual. ",9-Motion_1,,,,,P1.087
178,"HomingCollisionTorqueLimitTime
",PR/IO,2,2000,2000,,ms,INT,"Homing Collision Torque Limit Time
Torque limit time setting in torque limit homing mode  ID297 (P5.004.X=9 or 10). See ID 177 (P1.087).
See Referencing the Torque Limit in the user manual. ",9-Motion_1,,,,,P1.088
183,DI10CaptureConfiguration,All,0x00000000,0x00000101,0x00000000,,,UDINT,"DI10 Capture Configuration

X: Additional function of Capture
- Bit 0: ID394 (P5.109) will reset to the configured value when the DI10CaptureRemainedCount decreases to 0 in cycle mode.
-- 0=Disable cycle mode
-- 1=Enable cycle mode
- Bits 1…3: Reserved
Y:Reserved
Z: Reserved
U:Reserved","9-Motion_1
25-Capture",,,,,P1.103
