Ironman K5100 EIP Drive (★Read-only   ▲Set when servo off   ●Valid After Re-power on   ■Volatile parameter   ◊NEO-S Parameters   ○Set/Get through IO assembly ⌂Digit Check required ¤Set when io connection is not established),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,as of 8192021,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,A3,,,,,Property,,,,,,,,,,,,,,,,,,,,,,,Property,,,,,,,,,,,,,,,,,,,
Inst ID,Paramter,LinkPathSize,LinkPath,DataType,Descriptor,★,▲,●,■,◊,○,⌂,Group,[Min],[Max],   [Default],Precision,K5100 Unit,Name,Description, [A3 Description],A3 Addr,Bits,Control Mode,Note,Known Issue,,CFG,¤,NEO-S Min,NEO-S Max,,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26
1,PM.000,6,20.28.24.01.30.03,USINT,0x0000,,▲,●,,◊,,,1,0,3,0,,,MotorType,Motor Type,Motor type,0xFD00,16,All,"NEO-S (DSP): 9 (0) - SPM; 11 (2) - Linear; 6 (3) - Induction;
DSP: 0 - SPM; 2 - Linear; 3 - Induction;
12/06: Update DSP max and NEO-S max 
2021/01/19: remove NEO-S ID",,,8,¤,,,,√,,,,,,,,,,,,,,,
2,PN.010,6,20.28.24.01.30.04,SHORT_STRING,0x0000,,▲,,,◊,,,1,,,,,,MotorCatalogNumber,Motor Catalog Number,Motor Model[0]~[3],0xFC14,,All,Motor Catalog Number [0]-[15],,,8,¤,0,16,,√,,,,,,,,,,,,,,,
3,,6,20.28.24.01.30.05,SHORT_STRING,0x0010,★,,,,◊,,,1,,,,,,MotorManufacturer,Motor Manufacturer's Name,,,,All,"Manufacturer's Name 32 chars max
2019.01.10. Add default value ""ROCKWELL""",,,,,0,32,,,,,,,,,,,,,,,,,
4,PM.029,6,20.28.24.01.30.06,UINT,0x0000,,▲,●,,◊,,,1,0,65535,260,0.01,Amps (RMS),MotorRatedContinuousCurrent,Motor Rated Continuous Current,PM motor rated current,0xFD3A,16,All,"Combined with PM046, PM069
12/06: Max 6770 to 65535.
Can't be set to 0.
Default value needs update
12/18：RA & Delta檢查在不接馬達下預設是否為0
2019.01.07. No motor, no Power board, 400W, default 90. No motor with power board 400W default is 260. With TLP motor is 280.
Min should no less than Imax /8, varies by catalog:
Catalog / RatedContCurrent / RatedPeakCurrent / Min
2198-E1004-ERS / 2.60  /  6.50    /  33
2198-E1007-ERS / 5.10  /  15.41  /  64
2198-E1015-ERS / 7.90  /   23.7   /  99
2198-E1020-ERS / 13.40 /  53.03  / 168
2198-E1030-ERS / 17.90 /  55.95  /  224
2198-E2055-ERS / 41.30 /  91.40  /  517
2198-E2075-ERS / 49.00 /  127.49 / 613
2198-E2150-ERS / 78.00 /  162.00 / 975","
",,8,¤,,,,√,,,,,,,,,,,,,,,
5,PM.065,6,20.28.24.01.30.07,UINT,0x0000,,▲,,,◊,,,1,0,65535,220,,Volts (RMS),MotorRatedVoltage,Motor Rated Base Voltage,Motor Rated Voltage,0xFD82,16,All,2019.05.15. default changed from 311 to 220.,,,1,¤,,,,,,,,,,,,,,,,,,,
6,PM.067,6,20.28.24.01.30.08,UDINT,0x0000,,,,,◊,,,1,0,655350,40,0.01,kW,MotorRatedOutputPower,Motor Rated Output Power at Rated Frequency,,0xFD86,16,All,"Rated Power at Rated Freq Units.
12/06: Max 15000 to 65535, default 400 to 40, Unit W to 0.01 kW.
12/18：Delta修改預設值
2019.01.07. Debug board with no motor, 400W, default 400
2019.04.09. Default changed to 40.
2019.04.24. Delta remove ""set when servo off""",,,1,¤,,,,,,,,,,,,,,,,,,,
7,,6,20.28.24.01.30.0A,UINT,0x0010,★,,,,◊,,,1,0,100,80,,oC,MotorRatedWindingTemperature,Motor Rated Winding Temperature,,,,All,Rated Winding Temperature Units: [degrees C],,,,,,,,,,,,,,,,,,,,,,,
8,PM.032,6,20.28.24.01.30.0B,UINT,0x0000,,▲,●,,◊,,,1,0,28500,8000,,RPM,MotorMaxSpeed,Maximum allowed motor speed,Max. speed of PM motor,0xFD40,16,All,"Combined with PM048, PM072, name changed to Max Speed, follow MDO
01/02: Linear Motor (10^-5m/s)
2019.01.07: Valid After Re-power on?? From P2.052 min value issue.
2019.01.11.  Delta will add property ""Valid After Re-power on""
2019.02.19.Delta modified.",,,1,¤,,,,,,,,,,,,,,,,,,,
9,PM.028,6,20.28.24.01.30.0C,UINT,0x0000,,▲,●,,◊,,,1,0,500,10,,pole,RotaryMotorPoles,Number of poles in the motor,PM motor poles,0xFD38,16,All,"Combined with PM068
12/06: Max 32767 to 500, default 8 to 10. add property(▲)",,,8,¤,,,,√,,,,,,,,,,,,,,,
10,PM.033,6,20.28.24.01.30.0D,DINT,0x0000,,▲,,,◊,,,1,0,65535,0,0.001,N-m/Amps (RMS),PMMotorTorqueConstant,Permanent Magnet Motor Torque Constant,PM motor torque constant,0xFD42,16,All,"Change name to Torque Constant
12/06: Max 13850 to 65535
UINT is enough, changed or not?
12/18：維持Delta格式","
",,1,¤,,,,,,,,,,,,,,,,,,,
