Summary of Changes,Unnamed: 1
,
Date,Changes
,
September 2020,First release as an Excel spreadsheet
November 2020,Added P1.022 to 'Motion' group.
,Deleted ▲Set when servo off of P1.045.
,Changed the name of ID113(P0.054) from SystemVariableMonitorFilterTime to SystemVariableMonitorLowerLimit and changed the comments.
,Added ID 685 ZPhaseSourceOfHoming to 'General' group.
,Added ID 686 FullClosedLoopMonitoringConfiguration to 'General' group.
,"Changed the type and min/max value of ID183 P1.103, ID131 P1.019."
,"Changed the type and min/max value of ID331 P5.039, ID131 P1.110"
,"Changed ID 675 (P1.032) max value to 0x0030, min value to 0x0010, change Y=3 comments."
,Changed the unit from 0.01mH to 0.00001H of PM.036.
,Deleted P1.084.
,"Added new parameter 69…79,81, 98, and 99."
,Changed max value of ID 60…65 (P0.035…P0.039) from 684 to 687.
,"Changed type of PN.044 from UINT to DINT, min/max/default value and unit."
,Changed the default of P2.065 from 0 to 0x1000.
,Updated the comments for PN.044 and PN.045.
,Changed the default value of P1.001 to 0x0000.
,"Changed the default value of DI/DO ID195…ID207, ID220…225 to 0x1000."
,"Changed the max/default of ID240 (P2.066) to 0x31, 0x21."
,Changed the default of P1.053 to 0.
June 2021,Added and edited parameter and ranges for rotary motors
,Added and edited parameter and ranges for linear motors
,Edited min max vlaues of muliple parameters to support different motors
,This is the first revision as publication 2198-RD002A-EN-P.
