Synchronous Motor(Rotary)
Token,Name,Symbol,Value,Unit
0,Motor type,--,  ERD04,
1,Principle,--,Rotary,
2,Rated power,Pn,0.025,kW
3,Rated torque,Mn,0.4,Nm
4,Rated current,In,0.43,A
7,Rated speed,nN,600,min-1
9,Rated voltage,Un,530,V
32,Inertia,J,0.001,--
33,Mass,m,1.2,--
34,Allowed maximum current (magn. saturation effects?),Imax,1.29,A
35,Maximum torque,Mmax,1.2,Nm
36,Maximum speed,nMax,600,min-1
12,Number of pole pairs,NPP,7,--
13,Insulation class,Insul.Cl,,--
14,Motor inductance (minimum value),Lu-v(min),26.9,mH
15,Motor inductance (maximum value),Lu-v(max),26.9,mH
16,Motor inductance (average value),Lu-v,26.9,mH
23,Winding resistance (20°C),Ru-v,70,O
24,Allowed periodic peak voltage,ûmax_alll,1500,Vpp/2
25,Allowed rise of voltage,dv/dtall,5,kV/µs
26,Cooling type (without/with fan; liquid cooling),--,,--
27,Thermal time constant of motor,Tmotor,20,min
28,Thermal time constant of winding,Twinding,2,s
29,Thermal short-time overload of winding,koverload,2.2,--
30,Motor type,rotary/linear,,--
60,PTC/NTC/switch contact,PTC/NTC/switch contact,KTY (KTY84-130 + series thermal switch),KTY (KTY84-130 + series thermal switch)
61,Type designation,Type designation,KTY84-130,KTY84-130
62,How many and where installed?,How many and where installed?,1. in motor series with 130C switch,1, in motor series with 130C switch
63,Characteristics available,Characteristics available,yes / characteristic in drive (KTY84),yes / characteristic in drive (KTY84)
70,Type/standard,Type/standard,HIPERFACE (sine + digital),HIPERFACE (sine + digital)
71,Signal amplitude,Signal amplitude,1 Vpp,1 Vpp
72,Signal shape,Signal shape,sin/cos (+ HIPERFACE),sin/cos (+ HIPERFACE)
73,Cycles/revolution/division period/µm,Cycles/revolution/division period/µm,,
74,Manufacturer/type of construction,Manufacturer/type of construction,,
80,Manufacturer,Manufacturer,,
81,Type designation,Type designation,,
82,Holding torque,Nm/N,0,Nm/N
83,Rated voltage,V,0,V
84,Rated current,A,0,A
85,Inertia,kgm²/kg,0,kgm²/kg
86,Clamping delay,ms,0,ms
87,Release delay,ms,0,ms
88,Mass,kg,0,kg
89,Holding force,N,0,
90,Moved mass,kg,0,
100,Phase resistance of a possibly required choke at 20°C (Rdr),,0,ohm
101,Resistance of a power cable strand at 20°C,,0,ohm
