"Kinetix 5100 Servo Drive Parameters
For more information see:"
"Kinetix 5100 Servo Drive User Manual,publication 2198-UM004"

ID,Name,Control Mode,Min.,Max.,Default Value,Precision,Units,Data Type,Comments,Groups,Read-only,Set When Servo Off,Valid After Power Cycle,Volatile Parameter,Parameter Number
100,DSPFwVer,All,-32768,32767,0,,,INT,"DSP Firmware Version
High byte = Major version
Low byte = Minor version",3-General,x,,,x,P0.000
103,AOMonitorSelection,All,0x0000,0x0077,0x0000,,,UINT,"Analog Output Monitor Selection
The operation status of motor can be displayed as analog voltage, such as speed and current. This servo drive provides 2 output channels, MON1 (Y) and MON2 (X). This signal is based on the power ground.
The max output voltage (Max.Volt) can be configured to either 8 V or 10 V by ID266(P2.112).bit0.

See Analog Monitoring in the user manual.

Y (MON1) and X (MON2)
0=Motor speed (±Max.Volt V/Max. speed)
1=Motor torque (±Max.Volt V/Max. torque)
2=Pulse command frequency (+Max.Volt V/4.5Mpps)
3=Speed command (±Max.Volt V/Max. speed command)
4=Torque command (±Max.Volt V/Max. torque command)
5=VBUS voltage (±Max.Volt V/450 V)
6=ID181(P1.101) mV
7=ID182(P1.102) mV
UZ Reserved",3-General,,,,,P0.003
108,EncoderDataUpdateConfiguration,All,0x0000,0x0002,0x0000,,,UINT,"Encoder Data Update Configuration
See Reading the Absolute Position with Communication in the user manual.

X: Command processing
0=Not applicable
1=Update the encoder data of ID109…ID111 (P0.050…P0.052)
2=Update ID109…ID111 (P0.050…P0.052) and clear the position error. When the command takes effect, the motor's current position will be set as the terminal point of the position command.",3-General,,,,x,P0.049
112,SystemVariableMonitorFilterTime,All,0x0000,0x000F,0x0000,,ms,UINT,"System Variable Monitor Filter Time
See Description of System Variable Monitoring in the user manual.

X: First filter time, see ID113 (P0.054) and ID114 (P0.055)
Y, Z, U: Reserved
Note: 0 = 1 ms, 1 = 2 ms, 2 = 3 ms, … , F = 16 ms.",3-General,,,,,P0.053
113,SystemVariableMonitorLowerLimit,All,-2147483648,2147483647,0,,,DINT,"System Variable Monitor Lower Limit
Set a Digital_output_x_configuration to [0x2C], then the Digital_output_x is on/off when the ID663 (P0.009) monitoring item value is within/outside the range set by ID113 (P0.054) and ID114 (P0.055), and after the filter time set by ID112 (P0.053.X).",3-General,,,,,P0.054
114,SystemVariableMonitorUpperLimit,All,-2147483648,2147483647,0,,,DINT,"System Variable Monitor Upper Limit
Set a Digital_output_x_configuration to [0x2C], then the Digital_output_x is on/off when the ID663 (P0.009) monitoring item value is within/outside the range set by ID113 (P0.054) and ID114 (P0.055), and after the filter time set by ID112 (P0.053.X).",3-General,,,,,P0.055
116,ExternalPulseType,PT/IO,0x0000,0x11F7,0x1042,,,UINT,"External Pulse Input TypeDefines the Command Source (X), Logic Type (Z), and Filter Width (UY) of the external pulse.See PT Mode (Position Command with Terminal Block Input) in user manual.See ID116 on the Detailed Definitions Tab","3-General
13-Pulse Setting",,x,,,P1.000
117,ControlMode,All,0x0000,0x110F,0x0000,,,UINT,"Control Mode
Sets the operating mode(YX), direction control (Z), and Digital I/O setting control (U).
See Select Operation Mode and Direction Control in the user manual.

YX: Operating mode
00=PT=Position mode (terminal block input)
01=PR=Position mode (register input)
02=S=Speed mode
03=T=Torque mode
04=Sz=Speed mode (no analog input)
05=Tz=Torque mode (no analog input)
06=PT-S=PT and S dual mode
07=PT-T=PT-T dual mode
08=PR-S=PR and S dual mode
09=PR-T=PR and T dual mode
0A=S-T=S and T dual mode
0B=Reserved
0C=IO mode
0D=PT-PR=PT and PR dual mode
0E=PT-PR-S=PT and PR and S multi-mode
0F=PT-PR-T=PT and PR and T multi-mode
Z: Direction control
0=Forward
1=Reverse
U: Digital I/O setting control
0=Distributed I/O setting [ID187…ID207 (P2.002…P2.022)] retained after mode change
1=Distributed I/O setting [ID187…ID207 (P2.002…P2.022)] reset after mode change","3-General
11-System
12-BRK_RegResistor",,,x,,P1.001
118,VelocityTorqueLimitAction,All,0x0000,0x0011,0x0000,,,UINT,"Speed and Torque Limit Action
Enables or Disables the speed (X) or torque (Y) limit functions.
See Apply Speed Limit and Apply Torque Limit in the user manual.

X: Speed limit
0=Disable
1=Enable (in T/Tz mode only)
Y: Torque limit
0=Disable
1=Enable
U, Z: Reserved","3-General
16-Limit",,x,,,P1.002
119,EncoderOutputPolarity,All,0x0000,0x0013,0x0000,,,UINT,"Encoder Output Polarity
Sets the polarity of the monitor analog output (X) and encoder pulse output (Y).

X: Polarity of monitor analog output
0=MON1(+), MON2(+)
1=MON1(+), MON2(-)
2=MON1(-), MON2(+)
3=MON1(-), MON2(-)
Y: Polarity of encoder pulse output
0=forward
1=reverse
U, Z: Reserved","3-General
13-Pulse Setting",,,,,P1.003
120,AnalogOutput1Scale,All,0,100,100,,%,INT,"Analog Output 1 Scale
See Analog Monitoring in the user manual.",3-General,,,,,P1.004
121,AnalogOutput2Scale,All,0,100,100,,%,INT,"Analog Output 2 Scale
See Analog Monitoring in the user manual.",3-General,,,,,P1.005
125,PresetVelocityCmd_Limit_1,S/Sz/T/Tz/IO,"-285000
-15999999","285000
15999999","1000
1000","0.1
1","RPM
um/s",DINT,"Preset Speed Command/Limit 1
Example: Internal speed command setting 120=12 rpm
Internal speed limit setting: positive and negative values are identical.
See Selection of Speed Command in the user manual.",3-General,,,,,P1.009
126,PresetVelocityCmd_Limit_2,S/Sz/T/Tz/IO,"-285000
-15999999","285000
15999999","2000
2000","0.1
1","RPM
um/s",DINT,"Preset Speed Command/Limit 2
Example: Internal speed command setting 120=12 rpm
Internal speed limit setting: positive and negative values are identical.
See Selection of Speed Command in the user manual.",3-General,,,,,P1.010
127,PresetVelocityCmd_Limit_3,S/Sz/T/Tz/IO,"-285000
-15999999","285000
15999999","3000
3000","0.1
1","RPM
um/s",DINT,"Preset Speed Command/Limit 3
Example: Internal speed command setting 120=12 rpm
Internal speed limit setting: positive and negative values are identical.
See Selection of Speed Command in the user manual.",3-General,,,,,P1.011
128,PresetTorqueCmd_Limit_1,T/Tz/PT/PR/S/Sz/IO,-420,420,100,,%,INT,"Preset Torque Command/Limit 1
Example: Internal torque command: 30 = 30%
Internal torque limit: Positive and negative values are identical.
See Selection of Speed Command in the user manual.","3-General
16-Limit",,,,,P1.012
129,PresetTorqueCmd_Limit_2,T/Tz/PT/PR/S/Sz/IO,-420,420,100,,%,INT,"Preset Torque Command/Limit 2
Example: Internal torque command: 30 = 30%
Internal torque limit: Positive and negative values are identical.
See Selection of Speed Command in the user manual.","3-General
16-Limit",,,,,P1.013
